Intention,Query_Sentence_Pattern_Cleaned,Query_Sentence_Pattern
ฝึกงาน_ลงเทอม_3,การฝึกงาน ลงทะเบียน เทอม 3 ไหม,การฝึกงานลงทะเบียนเทอม 3 ได้ไหมครับ
ฝึกงาน_ลงเทอม_3,ฝึกงาน เทอม ซัมเมอร์ ไหม,ฝึกงานลงเทอมซัมเมอร์ได้ไหมครับ
ฝึกงาน_รูปแบบ,การฝึกงาน,การฝึกงานมีแบบไหนบ้าง
ฝึกงาน_สหกิจ_ช่วงเวลา,ช่วงเวลา ฝึกงาน สหกิจศึกษา ช่วง,ช่วงเวลาฝึกงานสหกิจศึกษาคือช่วงไหน
ฝึกงาน_สหกิจ_ช่วงเวลา,สห กิจ เทอม,แล้วสหกิจลงเทอมไหนได้บ้างครับ
ถามช่วงเวลาฝึกงาน,ระยะเวลา การฝึกงาน,ระยะเวลาในการฝึกงานนานเท่าไรครับ
ถามช่วงเวลาฝึกงาน,ฝึกงาน ช่วง,ฝึกงานช่วงไหนครับ
ถามช่วงเวลาฝึกงาน,ฝึกงาน ช่วง,ฝึกงานได้ช่วงไหนครับ
ถามช่วงเวลาฝึกงาน,ฝึก ช่วง,ฝึกช่วงไหนครับ
ถามช่วงเวลาฝึกงาน,ฝึกงาน ปกติ เทอม,แล้วฝึกงานปกติลงเทอมไหนได้บ้างครับ
บอกว่าฝึกงานปกติ,ฝึกงาน ปกติ,ฝึกงานปกติ
บอกว่าฝึกงานปกติ,ปกติ,ปกติครับ
บอกว่าฝึกงานปกติ,ถาม เรื่อง ฝึกงาน ปกติ,ถามเรื่องฝึกงานปกติหน่อยครับ
บอกว่าฝึกงานปกติ,ฝึกงาน ปก ติละ,แล้วของฝึกงานปกติละครับ
บอกว่าฝึกงานสหกิจ,ฝึกงาน สห กิจ,ฝึกงานสหกิจครับ
บอกว่าฝึกงานสหกิจ,สห กิจ,สหกิจครับ
บอกว่าฝึกงานสหกิจ,ถาม เรื่อง ฝึกงาน สห กิจ,ถามเรื่องฝึกงานสหกิจหน่อยครับ
