response_classes,response_messages,state_setting
อาจารย์ผู้สอน_Circuit_ตอบ,มี อาจารย์ดำรง และ อาจารย์มนตรี ครับ,null
อาจารย์ผู้สอน_IntroNetwork_ตอบ,มี อาจารย์ธัชชัย ครับ,null
อาจารย์ผู้สอน_Programming1_เทอม_1_ตอบ,มี อาจารย์สุธน และ อาจารย์ธนาธิป ครับ,null
อาจารย์ผู้สอน_DigitalLogic_ตอบ,มี อาจารย์ทวีศักดิ์ และ อาจารย์ปัญญยศ ครับ,null
อาจารย์ผู้สอน_Math_3_ตอบ,มี อาจารย์ธเนศ ครับ,null
อาจารย์ผู้สอน_Programming1_เทอม_2_ตอบ,มี อาจารย์นิคม ครับ,null
อาจารย์ผู้สอน_Programming2_ตอบ,มี อาจารย์ธนาธิป ครับ,null
อาจารย์ผู้สอน_SoftEng_ตอบ,มี อาจารย์สมชัย ครับ,null
อาจารย์ผู้สอน_Stats_ตอบ,มี อาจารย์ทศพร ครับ,null
อาจารย์ผู้สอน_Discrete_ตอบ,มี อาจารย์Andrew ครับ,null
อาจารย์ผู้สอน_DataComu_ตอบ,มี อาจารย์สินชัย อาจารย์เพ็ชรัตน์ ครับ,null
อาจารย์ผู้สอน_Lab3_1_ตอบ,มี อาจารย์ทวีศักดิ์ อาจารย์เสกสรรค์ อาจารย์สุธน อาจารย์ปัญญยศ อาจารย์วรรณรัช อาจารย์สุนทร อาจารย์วชรินทร์ ครับ,null
อาจารย์ผู้สอน_Ethical_ตอบ,มี อาจารย์ไพจิตร อาจารย์พิชญา ครับ,null
อาจารย์ผู้สอน_OS_ตอบ,มี อาจารย์แสงสุรีย์ ครับ,null
อาจารย์ผู้สอน_Database_ตอบ,มี อาจารย์ไพจิตร ครับ,null
อาจารย์ผู้สอน_Wireless_ตอบ,มี อาจารย์เพ็ชรัตน์ ครับ,null
อาจารย์ผู้สอน_ComArch_ตอบ,มี อาจารย์วชรินทร์ อาจารย์ปัญญยศ ครับ,null
อาจารย์ผู้สอน_Lab3_2_ตอบ,มี อาจารย์ทวีศักดิ์  อาจารย์สุนทร อาจารย์ธนาธิป อาจารย์เสกสรรค์ อาจารย์อนันท์ อาจารย์ปัญญยศ อาจารย์วรินทร์ ครับ,null
อาจารย์ผู้สอน_Micro_ตอบ,มี อาจารย์ทวีศักดิ์ อาจารย์ปัญญยศ ครับ,null
อาจารย์ผู้สอน_Algro_ตอบ,มี อาจารย์Andrew ครับ,null
อาจารย์ผู้สอน_Server_Client_ตอบ,มี อาจารย์สุธน ครับ,null
อาจารย์ผู้สอน_Security_ตอบ,มี อาจารย์แสงสุรีย์ ครับ,null
ยืนยันคำถาม_ฝึกงาน_ตอบ,หมายถึงเรื่องการฝึกงานใช่ไหมครับ,ยืนยันคำถาม_ฝึกงาน
ความสามารถบอท_ตอบ,ตอนนี้สามารถสอบถามเรื่องการฝึกงานได้ครับ,null
เทอมที่สามารถลงได้_การฝึกงาน_ตอบ,ลงได้เฉพาะเทอมซัมเมอร์ครับ,False
ตอบปฎิเสธ_ตอบ_false_state,ไม่ได้ครับ,False
ตอบปฎิเสธ_ตอบ_ฝึกงาน_state,ไม่ได้ครับ,สอบถามการฝึกงาน
การฝึกงาน_การบังคับ_ตอบ,บังคับครับ,False
ไม่จบ_ตอบ,ไม่จบครับ,False
การฝึกงาน_เอกสาร_ตอบ,ก็จะมีแบบฟอร์มการหาสถานที่ฝึกงานด้วยตัวนักศึกษาเอง แล้วก็กรณีที่จะสมัครผ่านโค้วต้าของคณะ สุดท้ายแบบประเมินจากทางสถานที่ประกอบการครับ,False
การฝึกงาน_สถานที่_ตอบ,สามารถฝึกงานได้ทุกที่เลยครับ หรือว่าต้องการดูโค้วต้าที่คณะมีให้โปรดติดต่อคณะครับ,False
ตอบได้_ตอบ_false_state,ได้ครับ,False
ตอบได้_ตอบ_ฝึกงาน_state,ได้ครับ,สอบถามการฝึกงาน
การฝึกงานบอกสถานที่ติดต่อ_ตอบ,ติดต่อทางคณะได้เลยครับ,False
การฝึกงานบอกเวลาติดต่อ_ตอบ,เวลา 08:00-16:00 วันจันทร์ ถึง ศุกร์ครับ,False
การฝึกงาน_ตอบเจ้าหน้าที่รับผิดชอบ_ตอบ,เนื่องจากมีความไม่แน่นอนของเจ้าหน้าที่รับผิดชอบ โปรดติดต่อที่คณะเพื่อความถูกต้องครับ,False
การฝึกงาน_เจ้าหน้าที่รับผิดชอบ_ไม่อยู่_ตอบ,ติดต่อคณะทางเดียวเลยครับ,False
การฝึกงาน_หน้าเว็บ_ตอบ,http://academic.eng.psu.ac.th/internship,False
