Pair_Type,Query_Sentence_Pattern,Response_Sentence
อาจารย์ผู้สอน_LabHard2_1,อาจารย์ ท่าน สอน วิชา แล็ป ฮาร์ดแวร์ ปี 2 เทอม 1 เหรอ,มี อาจารย์วชรินทร์ อาจารย์ปัญญยศ อาจารย์ดำรงค์ อาจารย์ธเนศ และ อาจารย์มนตรี ครับ
อาจารย์ผู้สอน_LabHard2_2,อาจารย์ ท่าน สอน วิชา แล็ป ฮาร์ดแวร์ ปี 2 เทอม 2 เหรอ,มี อาจารย์วชรินทร์ อาจารย์ปัญญยศ อาจารย์มนตรี อาจารย์ธเนศ และ อาจารย์ดำรงค์ ครับ
อาจารย์ผู้สอน_Circuit,อาจารย์ ท่าน สอน วิชา เซอร์กิต เหรอ,มี อาจารย์ดำรง และ อาจารย์มนตรี ครับ
อาจารย์ผู้สอน_IntroNetwork,อาจารย์ ท่าน สอน วิชา อิน โทร เน็ตเวิร์ก เหรอ,มี อาจารย์ธัชชัย ครับ
อาจารย์ผู้สอน_Programming1_เทอม_1,อาจารย์ ท่าน สอน วิชา การเขียน โปรแกรม ตัว 1 เทอม 1 เหรอ,มี อาจารย์สุธน และ อาจารย์ธนาธิป ครับ
อาจารย์ผู้สอน_DigitalLogic,อาจารย์ ท่าน สอน วิชา ดิจิตอล โล จิก เหรอ,มี อาจารย์ทวีศักดิ์ และ อาจารย์ปัญญยศ ครับ
อาจารย์ผู้สอน_Math_3,อาจารย์ ท่าน สอน วิชา คอม อิน จิ เนียร ์ แมท เหรอ,มี อาจารย์ธเนศ ครับ
อาจารย์ผู้สอน_Programming1_เทอม_2,อาจารย์ ท่าน สอน วิชา การเขียน โปรแกรม ตัว 1 เทอม 2 เหรอ,มี อาจารย์นิคม ครับ
อาจารย์ผู้สอน_Programming2,อาจารย์ ท่าน สอน วิชา การเขียน โปรแกรม ตัว 2 เหรอ,มี อาจารย์ธนาธิป ครับ
อาจารย์ผู้สอน_SoftEng,อาจารย์ ท่าน สอน วิชา ซอ ฟ เอน เหรอ,มี อาจารย์สมชัย ครับ
อาจารย์ผู้สอน_Stats,อาจารย์ ท่าน สอน วิชา สแตท เหรอ,มี อาจารย์ทศพร ครับ
อาจารย์ผู้สอน_Discrete,อาจารย์ ท่าน สอน วิชา ดิส ค รีต แมท เหรอ,มี อาจารย์Andrew ครับ
อาจารย์ผู้สอน_DataComu,อาจารย์ ท่าน สอน วิชา ดา ต้า เหรอ,มี อาจารย์สินชัย อาจารย์เพ็ชรัตน์ ครับ
